Rank,Player Name,Position,Position Rank,Team,Age,Tier,Value
1,Josh Allen,QB,1,BUF,28.4,Tier 1,9992
2,Justin Jefferson,WR,1,MIN,25.3,Tier 1,9989
3,Malik Nabers,WR,2,NYG,21.2,Tier 2,9311
4,CeeDee Lamb,WR,3,DAL,25.5,Tier 2,9171
5,Jayden Daniels,QB,2,WAS,23.8,Tier 3,8758
6,C.J. Stroud,QB,3,HOU,23,Tier 3,8732
7,Lamar Jackson,QB,4,BAL,27.7,Tier 3,8705
8,Marvin Harrison Jr.,WR,4,ARI,22.1,Tier 3,8629
9,Ja'Marr Chase,WR,5,CIN,24.6,Tier 3,8595
10,Patrick Mahomes,QB,5,KCC,29,Tier 3,8518
11,Amon-Ra St. Brown,WR,6,DET,24.9,Tier 3,8358
12,Bijan Robinson,RB,1,ATL,22.7,Tier 3,8232
13,Breece Hall,RB,2,NYJ,23.3,Tier 3,8068
14,Jalen Hurts,QB,6,PHI,26.2,Tier 3,7864
15,Kyler Murray,QB,7,ARI,27.2,Tier 4,7455
16,Jordan Love,QB,8,GBP,25.9,Tier 4,7311
17,Nico Collins,WR,7,HOU,25.5,Tier 4,7263
18,Jahmyr Gibbs,RB,3,DET,22.5,Tier 4,7186
19,Joe Burrow,QB,9,CIN,27.8,Tier 5,6940
20,Brock Bowers,TE,1,LVR,21.8,Tier 6,6707
21,A.J. Brown,WR,8,PHI,27.2,Tier 6,6641
22,De'Von Achane,RB,4,MIA,23,Tier 6,6626
23,Puka Nacua,WR,9,LAR,23.3,Tier 6,6609
24,Saquon Barkley,RB,5,PHI,27.6,Tier 6,6607
25,Caleb Williams,QB,10,CHI,22.9,Tier 6,6575
26,Garrett Wilson,WR,10,NYJ,24.2,Tier 6,6550
27,Rashee Rice,WR,11,KCC,24.4,Tier 6,6549
28,2025 Early 1st,PICK,None,None,None,Tier 6,6467
29,Jonathan Taylor,RB,6,IND,25.7,Tier 7,6184
30,Brock Purdy,QB,11,SFO,24.8,Tier 8,6041
31,Sam LaPorta,TE,2,DET,23.7,Tier 9,5921
32,Justin Herbert,QB,12,LAC,26.6,Tier 9,5889
33,Anthony Richardson,QB,13,IND,22.4,Tier 9,5887
34,Chris Olave,WR,12,NOS,24.3,Tier 9,5867
35,Rome Odunze,WR,13,CHI,22.3,Tier 9,5848
36,DeVonta Smith,WR,14,PHI,25.9,Tier 9,5828
37,DK Metcalf,WR,15,SEA,26.8,Tier 9,5783
38,Trey McBride,TE,3,ARI,24.8,Tier 9,5739
39,James Cook,RB,7,BUF,25,Tier 9,5738
40,Drake London,WR,16,ATL,23.2,Tier 9,5661
41,Dak Prescott,QB,14,DAL,31.2,Tier 9,5644
42,Tyreek Hill,WR,17,MIA,30.6,Tier 9,5627
43,Christian McCaffrey,RB,8,SFO,28.3,Tier 9,5625
44,Kyren Williams,RB,9,LAR,24.1,Tier 9,5614
45,2026 Early 1st,PICK,None,None,None,Tier 9,5581
46,Brian Thomas Jr.,WR,18,JAC,22,Tier 9,5517
47,Jayden Reed,WR,19,GBP,24.4,Tier 10,5357
48,Brandon Aiyuk,WR,20,SFO,26.5,Tier 10,5348
49,Jaxon Smith-Njigba,WR,21,SEA,22.6,Tier 10,5297
50,Jaylen Waddle,WR,22,MIA,25.8,Tier 10,5272
